"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","correct_response","category"
"","","","","","image-keyboard-response","973","373174","0.0-3.0-0.239","","null","img_mproj/french/1.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","974","373475","0.0-3.0-1.239","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","975","373678","0.0-3.0-2.239","","null","img_mproj/Mfrench/1.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","976","374229","0.0-3.0-3.239","","550","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMF"
"","","","","","image-keyboard-response","977","374431","0.0-3.0-0.240","","null","img_mproj/jap/1.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","978","374733","0.0-3.0-1.240","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","979","374935","0.0-3.0-2.240","","null","img_mproj/jap/1.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","980","378026","0.0-3.0-3.240","","3090","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNJ"
"","","","","","image-keyboard-response","981","378232","0.0-3.0-0.241","","null","img_mproj/jap/10.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","982","378534","0.0-3.0-1.241","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","983","378737","0.0-3.0-2.241","","null","img_mproj/jap/10.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","984","379127","0.0-3.0-3.241","","389","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNJ"
"","","","","","image-keyboard-response","985","379329","0.0-3.0-0.242","","null","img_mproj/false/10.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","986","379630","0.0-3.0-1.242","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","987","379833","0.0-3.0-2.242","","null","img_mproj/false/10.jpg","null","actual_stimuli_presentation_2","",""
