"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","correct_response","category"
"","","","","","html-keyboard-response","742","505152","0.0-3.0-1.181","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","743","505355","0.0-3.0-2.181","","null","img_mproj/Mfaces/7.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","744","505877","0.0-3.0-3.181","","522","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMM"
"","","","","","image-keyboard-response","745","506081","0.0-3.0-0.182","","null","img_mproj/Mjap/5.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","746","506393","0.0-3.0-1.182","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","747","506599","0.0-3.0-2.182","","null","img_mproj/Mjap/1.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","748","507223","0.0-3.0-3.182","","623","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMJ"
"","","","","","image-keyboard-response","749","507435","0.0-3.0-0.183","","null","img_mproj/faces/14.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","750","507747","0.0-3.0-1.183","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","751","507960","0.0-3.0-2.183","","null","img_mproj/faces/12.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","752","508781","0.0-3.0-3.183","","820","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DNM"
"","","","","","image-keyboard-response","753","508988","0.0-3.0-0.184","","null","img_mproj/french/4.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","754","509300","0.0-3.0-1.184","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
